x,y
0.08212,0
0.05775,0
0.08244,0
0.0446,0
0.05722,0
0.0365,0
0.06378,0
0.07289,0
0.05029,0
0.0634,0
0.03771,0
0.04812,0
0.04862,0
0.044,0
0.04971,0
0.057,0
0.0495,0
0.07222,0
0.05225,0
0.08962,0
0.053,0
0.0534,0
0.02675,0
0.10889,1
0.20056,0
0.105,0
0.09467,0
0.0783,0
0.11488,0
0.15417,0
0.132,0
0.13989,0
0.12029,0
0.1023,0
0.05243,0
0.12025,0
0.10825,0
0.08067,0
0.04786,1
0.57886,1
0.5484,1
0.243,0
0.059,0
0.12188,0
0.12922,0
0.0959,0
0.09787,1
0.5044,1
0.42538,0
0.099,0
0.14773,1
0.20027,1
0.2245,1
0.20867,1
0.21522,0
0.12656,0
0.13471,1
0.2366,1
0.20929,0
0.0745,0
0.0815,1
0.37933,1
0.21314,1
0.42473,0
0.07175,0
0.07322,1
0.54488,1
0.42688,0
0.14867,0
0.0863,0
0.0535,0
0.1357,0
0.13567,0
0.1716,0
0.10773,0
0.08818,0
0.09712,0
0.144,0
0.074,0
0.0855,0
0.07578,0
0.1014,0
0.10712,0
0.05338,0
0.05738,1
0.2365,1
0.38133,1
0.2756,1
0.43075,1
0.38071,0
0.09025,0
0.125,0
0.177,1
0.315,0
0.1475,0
0.07156,1
0.374,0
0.18267,0
0.09436,0
0.13564,0
0.09375,0
0.09429,0
0.10663,0
0.123,0
0.0865,0
0.0777,0
0.10238,0
0.06225,0
0.048,0
0.07189,1
0.3345,0
0.1303,1
0.27771,1
0.25111,0
0.0835,0
0.09643,0
0.08889,1
0.2634,0
0.07975,0
0.07233,0
0.04214,0
0.04383,0
0.06345,0
0.0799,0
0.09725,0
0.05843,0
0.06543,0
0.07629,0
